,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
128,7572.6,0.27631,0.21246,1.0956,-0.026898,-0.020252,0.0026345,3754.8,NA,NA,NA,NA,127.85,NA,1.21,0.56242,0.000019624,1,6.35,154.6985
129,6900.6,0.32561,0.008464,1.0753,0.12569,0.021963,0.012856,3754.8,NA,NA,NA,NA,171.73,NA,1.21,0.57393,0.000019624,1,6.4,207.7933
130,7673.6,-0.15237,0.039928,1.0877,0.068598,0.04224,-0.021002,3754.8,NA,NA,NA,NA,122.2,NA,1.21,0.55518,0.000019624,1,6.45,147.862
131,5895.9,-0.4051,-0.30516,1.0478,-0.086116,-0.014149,0.042016,3754.8,NA,NA,NA,NA,169.49,NA,1.21,0.61336,0.000019624,1,6.5,205.0829
132,4196.9,0.023328,-0.25989,0.95728,-0.085146,-0.044346,-0.067784,3754.8,NA,NA,NA,NA,101.62,NA,1.21,0.69463,0.000019624,1,6.55,122.9602
133,10401,0.17193,-0.12372,1.2105,-0.019335,-0.045072,-0.0048458,3754.8,NA,NA,NA,NA,160.42,NA,1.21,0.49183,0.000019624,1,6.6,194.1082
134,3521.7,0.35835,0.14557,0.94088,0.090811,-0.015008,0.026399,3754.8,NA,NA,NA,NA,173,NA,1.21,0.71468,0.000019624,1,6.65,209.33
135,5565.9,0.35112,0.16267,0.96013,0.087659,0.017836,-0.08461,3754.8,NA,NA,NA,NA,70.136,NA,1.21,0.65809,0.000019624,1,6.7,84.86456
136,5890.4,-0.1047,-0.071951,1.0719,-0.012383,-0.0051536,-0.15008,3754.8,NA,NA,NA,NA,44.489,NA,1.21,0.65688,0.000019624,1,6.75,53.83169
137,9204.2,-0.24594,-0.014442,1.149,0.033353,0.033475,0.027573,3754.8,NA,NA,NA,NA,168.05,NA,1.21,0.51997,0.000019624,1,6.8,203.3405
138,5499.7,-0.57398,0.20048,1.0024,-0.14402,0.036018,0.010253,3754.8,NA,NA,NA,NA,142.58,NA,1.21,0.62732,0.000019624,1,6.85,172.5218
139,7073.6,0.2096,-0.045291,1.0234,-0.062333,0.028322,-0.04275,3754.8,NA,NA,NA,NA,109.07,NA,1.21,0.59036,0.000019624,1,6.9,131.9747
